t,wall,phase,label,cmd1,cmd2,cb1,cb2,bs1,bs2,a1,a2,ba1,ba2,v_batt,v_int,v_5v,t_mcu,ff
0.8225,2026-09-25T14:44:55.965,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
0.8328,2026-09-25T14:44:55.975,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
0.8429,2026-09-25T14:44:55.985,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
0.8531,2026-09-25T14:44:55.995,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
0.8632,2026-09-25T14:44:56.006,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.024,30.0,0.0
0.8734,2026-09-25T14:44:56.016,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.024,30.0,0.0
0.8835,2026-09-25T14:44:56.026,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.024,30.0,0.0
0.8937,2026-09-25T14:44:56.036,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.024,30.0,0.0
0.9038,2026-09-25T14:44:56.046,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.024,30.0,0.0
0.914,2026-09-25T14:44:56.057,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.024,30.0,0.0
0.9247,2026-09-25T14:44:56.067,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.024,30.0,0.0
0.9348,2026-09-25T14:44:56.077,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.024,30.0,0.0
0.9449,2026-09-25T14:44:56.087,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.024,30.0,0.0
