t,phase,cmd_lin,cmd_ang,odom_v,odom_w,filt_v,filt_w,imu_yaw,amcl_x,amcl_y,amcl_yaw,v_batt,a1,a2,ba1,ba2,rpm1,rpm2,ff
6.0211,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.0717,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.1225,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.1731,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.2235,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.2742,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.3248,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.3753,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.4259,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.4762,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.5271,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.5775,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.628,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.6784,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.7287,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.7796,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.8305,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
6.8809,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
